image_link,group_id,entity_name,entity_value,image_name,extracted_text,extracted_text_with_details
https://m.media-amazon.com/images/I/61Am7goxaFL.jpg,178778,depth,3.9 centimetre,6617892b-9ef8-40dc-a834-4623584e4c44.jpg,"['3.9cm/1.53in', '1', 'S']","[[""[[546, 248], [862, 248], [862, 298], [546, 298]]"", ""3.9cm/1.53in"", ""0.8025913116385702""], [""[[1356, 688], [1408, 688], [1408, 978], [1356, 978]]"", ""1"", ""0.30288651168690706""], [""[[1369, 975], [1401, 975], [1401, 995], [1369, 995]]"", ""S"", ""0.008399151963143725""]]"
https://m.media-amazon.com/images/I/51R8AlSuVKL.jpg,347320,depth,100.0 inch,0088cdf4-5092-4780-81be-dc41cdb4e9c4.jpg,"['Space Dark Gray', 'Roll up and deliver', 'without crease', '7', '100 inch', '17.7 inch', 'Sticker', 'paper', 'protective']","[[""[[871, 82], [1452, 82], [1452, 173], [871, 173]]"", ""Space Dark Gray"", ""0.7958959148486227""], [""[[195, 203], [473, 203], [473, 245], [195, 245]]"", ""Roll up and deliver"", ""0.7350397699690144""], [""[[229, 239], [447, 239], [447, 277], [229, 277]]"", ""without crease"", ""0.9351904129048098""], [""[[115, 957], [129, 957], [129, 979], [115, 979]]"", ""7"", ""0.017839504058461353""], [""[[664, 944], [844, 944], [844, 992], [664, 992]]"", ""100 inch"", ""0.7236207977212195""], [""[[689, 1089], [851, 1089], [851, 1131], [689, 1131]]"", ""17.7 inch"", ""0.9480585796582933""], [""[[788.6750472251236, 595.745066115173], [895.500136169671, 578.063754459331], [900.3249527748764, 616.254933884827], [794.499863830329, 633.936245540669]]"", ""Sticker"", ""0.9999872038206957""], [""[[907.439262401342, 703.9271148816105], [1001.3153946963026, 683.7621085799957], [1008.560737598658, 722.0728851183895], [914.6846053036974, 742.2378914200043]]"", ""paper"", ""0.940430873642441""], [""[[755.286093236459, 736.5144372945836], [909.5568516540641, 698.1700255982714], [918.713906763541, 735.4855627054164], [764.4431483459359, 772.8299744017286]]"", ""protective"", ""0.9999914426944999""]]"
https://m.media-amazon.com/images/I/51KghPIV6JL.jpg,826444,depth,90.0 millimetre,858aaef5-ad30-420a-966b-2ae49c5b8e87.jpg,"['90 MM', '110 MM', '60 MM']","[[""[[1256, 282], [1552, 282], [1552, 384], [1256, 384]]"", ""90 MM"", ""0.8779640452515217""], [""[[331, 1179], [683, 1179], [683, 1283], [331, 1283]]"", ""110 MM"", ""0.9994173147136""], [""[[1310, 2106], [1606, 2106], [1606, 2206], [1310, 2206]]"", ""60 MM"", ""0.853655803811633""]]"
https://m.media-amazon.com/images/I/51gqMA7+K0L.jpg,494658,depth,53.0 centimetre,4586f615-0158-4cdd-8201-f61965bd71dd.jpg,"['PRODUCT SIZE', '3', '3', '8', '3', '167cm/65.74in', 'Thick: 1Ocm/3.94in']","[[""[[345, 77], [691, 77], [691, 143], [345, 143]]"", ""PRODUCT SIZE"", ""0.9398908578271792""], [""[[19, 275], [57, 275], [57, 381], [19, 381]]"", ""3"", ""0.5953004392209529""], [""[[20, 382], [54, 382], [54, 408], [20, 408]]"", ""3"", ""0.006498360022810568""], [""[[17, 407], [57, 407], [57, 465], [17, 465]]"", ""8"", ""0.9280169204061082""], [""[[16, 472], [60, 472], [60, 563], [16, 563]]"", ""3"", ""0.5345632847634221""], [""[[327, 683], [662, 683], [662, 734], [327, 734]]"", ""167cm/65.74in"", ""0.994632515811012""], [""[[334, 822], [660, 822], [660, 870], [334, 870]]"", ""Thick: 1Ocm/3.94in"", ""0.9033820573293899""]]"
https://m.media-amazon.com/images/I/51YDWb+0+mL.jpg,861555,depth,217.0 millimetre,334836d1-92b8-4110-8713-fbbf56907fad.jpg,"['1', '217mm', '173mm', 'I', '30mm']","[[""[[196, 246], [235, 246], [235, 360], [196, 360]]"", ""1"", ""0.5707767656627425""], [""[[550, 516], [665, 516], [665, 556], [550, 556]]"", ""217mm"", ""0.6578243966321593""], [""[[532, 694], [647, 694], [647, 735], [532, 735]]"", ""173mm"", ""0.99997153133616""], [""[[186, 1040], [218, 1040], [218, 1090], [186, 1090]]"", ""I"", ""0.17517977379202776""], [""[[153, 1103], [254, 1103], [254, 1144], [153, 1144]]"", ""30mm"", ""0.921123743057251""]]"
https://m.media-amazon.com/images/I/51544S1oCiL.jpg,667819,depth,16.0 inch,6c787435-010d-40d7-ad22-c81bf27ff7bc.jpg,[],[]
https://m.media-amazon.com/images/I/51brSZcFF7L.jpg,675317,depth,1.18 inch,a5707843-0467-476b-afa9-1897b2710be3.jpg,"['1', '{', '1.18in']","[[""[[318, 704], [366, 704], [366, 858], [318, 858]]"", ""1"", ""0.9666568331573586""], [""[[432, 742], [482, 742], [482, 822], [432, 822]]"", ""{"", ""0.2728645433776933""], [""[[605, 1359], [755, 1359], [755, 1409], [605, 1409]]"", ""1.18in"", ""0.992352795572272""]]"
https://m.media-amazon.com/images/I/513bbFLNI+L.jpg,943839,depth,65.0 millimetre,0bf02e9a-548c-4482-9af5-eade186c0ea6.jpg,"['0', 'SGCCCC', '0', '0', 'L']","[[""[[160, 452], [213, 452], [213, 574], [160, 574]]"", ""0"", ""0.4654202003550836""], [""[[471.96999543991353, 490.39099863197407], [891.6996455788824, 327.1847593271644], [957.0300045600865, 500.60900136802593], [537.3003544211176, 662.8152406728357]]"", ""SGCCCC"", ""0.06812895360636655""], [""[[193.7121777680212, 454.0059197629153], [243.26596750607504, 444.00505459022645], [295.2878222319788, 710.9940802370847], [244.73403249392496, 720.9949454097735]]"", ""0"", ""0.08882937090000187""], [""[[248.56320585509891, 492.0159202148551], [291.501465159252, 483.0209923319955], [320.4367941449011, 640.9840797851449], [277.498534840748, 649.9790076680044]]"", ""0"", ""0.532261385049285""], [""[[163.68810856922408, 575.0097371075856], [203.26699818756904, 561.0071338924587], [264.3118914307759, 744.9902628924144], [225.73300181243096, 757.9928661075413]]"", ""L"", ""0.13579286078426378""]]"
https://m.media-amazon.com/images/I/51p84vAQK8L.jpg,108478,depth,25.0 centimetre,8bb533b8-85fd-4ca1-bc41-44651a68052e.jpg,"['{25cm', '1', '1', 'L']","[[""[[421, 25], [545, 25], [545, 63], [421, 63]]"", ""{25cm"", ""0.5621980790505996""], [""[[689, 365], [727, 365], [727, 487], [689, 487]]"", ""1"", ""0.11130788023203664""], [""[[702, 644], [728, 644], [728, 786], [702, 786]]"", ""1"", ""0.2611673971080144""], [""[[691, 782], [731, 782], [731, 959], [691, 959]]"", ""L"", ""0.16394049812790001""]]"
https://m.media-amazon.com/images/I/51bpjtgntZL.jpg,881883,depth,200.0 centimetre,d2ab54c6-38ea-4df5-b6a1-22e937852452.jpg,"['200 cm', '180 cm']","[[""[[85, 437], [257, 437], [257, 497], [85, 497]]"", ""200 cm"", ""0.9999341044093903""], [""[[553, 1009], [723, 1009], [723, 1069], [553, 1069]]"", ""180 cm"", ""0.9940815236471523""]]"
